violationid,bbl,housenumber,streetname,zip,censustract,boro,inspectiondate
9387856,NA,143-30,LAKEWOOD AVENUE,NA,NA,QUEENS,2012-03-31
9650345,NA,28,ORMOND PLACE,NA,NA,STATEN ISLAND,2012-11-23
9655860,NA,119,SOUTH AVENUE,NA,NA,STATEN ISLAND,2012-11-28
9707035,NA,180,BEACH 27 STREET,NA,NA,QUEENS,2013-01-16
9772623,NA,1754,ANTHONY AVENUE,NA,NA,BRONX,2013-03-16
9781524,NA,109-26,GUY R BREWER BOULEVARD,NA,NA,QUEENS,2013-03-22
9812544,NA,180,BEACH 27 STREET,NA,NA,QUEENS,2013-04-20
9812624,NA,180,BEACH 27 STREET,NA,NA,QUEENS,2013-04-20
9851128,NA,180,BEACH 27 STREET,NA,NA,QUEENS,2013-05-24
9851136,NA,180,BEACH 27 STREET,NA,NA,QUEENS,2013-05-24
10051588,NA,1754,ANTHONY AVENUE,NA,NA,BRONX,2013-12-01
10313892,NA,208,BEACH BREEZE PLACE,NA,NA,QUEENS,2014-07-17
10351043,NA,208,BEACH BREEZE PLACE,NA,NA,QUEENS,2014-08-18
10369102,NA,2821,ALBEMARLE ROAD,NA,NA,BROOKLYN,2014-09-03
10387785,NA,2821,ALBEMARLE ROAD,NA,NA,BROOKLYN,2014-09-18
10390153,NA,2821,ALBEMARLE ROAD,NA,NA,BROOKLYN,2014-09-21
10420207,NA,91,CRYSTAL STREET,NA,NA,BROOKLYN,2014-10-16
10482497,NA,601,EAST 239 STREET,NA,NA,BRONX,2014-12-19
10482499,NA,601,EAST 239 STREET,NA,NA,BRONX,2014-12-19
10522431,NA,91,CRYSTAL STREET,NA,NA,BROOKLYN,2015-01-29
10570850,NA,91,CRYSTAL STREET,NA,NA,BROOKLYN,2015-02-19
10603823,NA,180,BEACH 27 STREET,NA,NA,QUEENS,2015-02-28
10603842,NA,180,BEACH 27 STREET,NA,NA,QUEENS,2015-02-28
10603853,NA,180,BEACH 27 STREET,NA,NA,QUEENS,2015-02-28
10657092,NA,180,BEACH 27 STREET,NA,NA,QUEENS,2015-04-01
10657096,NA,180,BEACH 27 STREET,NA,NA,QUEENS,2015-04-01
10741471,NA,91,CRYSTAL STREET,NA,NA,BROOKLYN,2015-06-08
11031946,NA,450,ATKINS AVENUE,NA,NA,BROOKLYN,2015-12-09
11039334,NA,72-34,45 AVENUE,NA,NA,QUEENS,2015-12-15
11046659,NA,178-15,SELOVER ROAD,NA,NA,QUEENS,2015-12-22
11144855,NA,180,BEACH 27 STREET,NA,NA,QUEENS,2016-03-06
11144856,NA,180,BEACH 27 STREET,NA,NA,QUEENS,2016-03-06
11176844,NA,180,BEACH 27 STREET,NA,NA,QUEENS,2016-03-29
11176871,NA,180,BEACH 27 STREET,NA,NA,QUEENS,2016-03-29
11263186,NA,112-02,NORTHERN BOULEVARD,NA,NA,QUEENS,2016-06-06
11263217,NA,112-02,NORTHERN BOULEVARD,NA,NA,QUEENS,2016-06-06
11341854,NA,119,SOUTH AVENUE,NA,NA,STATEN ISLAND,2016-08-05
11423273,NA,699,RUTLAND ROAD,NA,NA,BROOKLYN,2016-10-05
11446377,NA,1485,GATES AVENUE,NA,NA,BROOKLYN,2016-10-21
11451466,NA,699,RUTLAND ROAD,NA,NA,BROOKLYN,2016-10-24
11566266,NA,1922,UNION STREET,NA,NA,BROOKLYN,2016-12-10
11796369,NA,950,EAST 176 STREET,2016,NA,BRONX,2017-05-23
11981079,NA,225,EAST 39 STREET,NA,NA,MANHATTAN,2017-09-18
12130457,NA,2022,EAST 53 STREET,NA,NA,BROOKLYN,2017-12-06
12163082,NA,2022,EAST 53 STREET,NA,NA,BROOKLYN,2017-12-27
12188845,NA,6410,BEACH FRONT ROAD,NA,NA,QUEENS,2018-01-10
12197095,NA,875,CAULDWELL AVENUE,NA,NA,BRONX,2018-01-16
12200144,NA,180,BEACH 27 STREET,NA,NA,QUEENS,2018-01-18
12200153,NA,180,BEACH 27 STREET,NA,NA,QUEENS,2018-01-18
12204999,NA,3864,WHITE PLAINS ROAD,NA,NA,BRONX,2018-01-22
12241537,NA,35-16,ASTORIA BOULEVARD,NA,NA,QUEENS,2018-02-14
12256769,NA,433,BEACH 37 STREET,NA,NA,QUEENS,2018-02-23
12269234,NA,451,MAPLE STREET,NA,NA,BROOKLYN,2018-03-02
